model,n_features,n_trees,train_auc,train_gini,val_auc,val_gini,hold_out_auc,hold_out_gini
A: as-built (all features),19,7412,0.9816461446277271,0.9632922892554543,0.9700564315587076,0.9401128631174152,0.9687228241576374,0.9374456483152749
B: application-time features only,14,324,0.7122794352907718,0.4245588705815435,0.712592678714517,0.42518535742903407,0.7146862819803781,0.4293725639607562
