num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
18,3,0.008620000483824154,binary,auc,gbdt,0.2023424373366332,80,875,55,20,2019,1.0548159896786258,21.582315406596763,0.334393660793853,0.6469877444219001,-1,20000,,0.8437015705525366,0.8468755172433148,0.8428816121872338,-0.0031739466907781955,39,0.29410404402756374
10,6,0.014840106618593335,binary,auc,gbdt,0.23804893725161463,10,225,65,20,2019,3.6168900093502874,4.935724301363598,0.4604625026356767,0.4682924183640632,-1,20000,,0.8330545591900484,0.838689533025685,0.8372455760014307,-0.005634973835636603,28,0.2974565668693387
9,8,0.008993067038505559,binary,auc,gbdt,0.7885074761437973,90,550,55,20,2019,6.797730711591549,6.65367140910586,0.3764564201972691,0.8661714532181494,-1,20000,,0.9485783151653975,0.943954370591677,0.9398870110124081,0.0046239445737205065,5375,0.2658467721552295
19,9,0.008981674500038606,binary,auc,gbdt,0.47485107435272134,70,100,60,20,2019,1.0803578174655326,3.266138460191481,0.3034677629824998,0.8935624813389127,-1,20000,,0.9625396098694338,0.9498658737179555,0.9461677023149146,0.012673736151478265,4928,0.26635451924027526
6,12,0.0068489858810506146,binary,auc,gbdt,0.9079672628578128,60,500,25,20,2019,15.228161636137983,35.30772867362897,0.13817158358033454,0.7921401132114504,-1,20000,,0.9141131020635151,0.916447775093985,0.912255171424579,-0.002334673030469858,3800,0.27290957692290946
4,2,0.014850479999460316,binary,auc,gbdt,0.9952587230913056,40,250,5,20,2019,32.539709410943644,6.366872262392537,0.33696990656874737,0.9377610443931561,-1,20000,,0.9058076368923125,0.9079780185254572,0.9040955176716481,-0.002170381633144758,2520,0.27529278504572624
8,5,0.011324984146369847,binary,auc,gbdt,0.20189873839587774,30,175,95,20,2019,47.511036545678245,24.264233391781755,0.4934921556559322,0.2864062475882355,-1,20000,,0.8343808795979049,0.8374927089320593,0.8341159506325202,-0.0031118293341544367,26,0.2970968881285619
2,5,0.0053816930223240834,binary,auc,gbdt,0.8243611825934627,60,350,45,20,2019,22.77169328313513,11.83691750133639,0.2617858081496018,0.3657326572557009,-1,20000,,0.7760719652232873,0.7730614336399291,0.7748145552582639,0.003010531583358178,44,0.31904939559409345
22,5,0.014105650362904103,binary,auc,gbdt,0.5651527542858329,50,475,15,20,2019,15.820989078362762,7.39558281156355,0.1168833695377429,0.8030449077576642,-1,20000,,0.9167107602053698,0.9177851061619153,0.9134783989319223,-0.0010743459565455415,2061,0.27218641723828546
9,6,0.010478881193661183,binary,auc,gbdt,0.5005894933668507,30,900,35,20,2019,10.40671245879286,11.585325761089809,0.6679587645774017,0.19963127740780567,-1,20000,,0.9280429488255673,0.9291150994680552,0.9238834858959387,-0.0010721506424878902,4786,0.26899802971684467
11,7,0.011611556405060074,binary,auc,gbdt,0.47683626163708137,20,525,40,20,2019,33.26559961063109,37.70691103354983,0.30480899635497616,0.6341284605667927,-1,20000,,0.9016998255133994,0.9041422405683878,0.899817237163258,-0.002442415054988323,2403,0.27647805111433277
15,5,0.010118600852735402,binary,auc,gbdt,0.15051891626395525,80,425,70,20,2019,14.611003831662195,13.099653325095195,0.3283710851083689,0.4334581180852718,-1,20000,,0.8246064974008576,0.8297555826391321,0.8258499598968987,-0.005149085238274509,208,0.30022324861183625
15,10,0.01468241076034748,binary,auc,gbdt,0.26055710094883056,20,375,55,20,2019,30.623796906718887,8.023892084208079,0.9597289793306257,0.9258265817567336,-1,20000,,0.8550013042104351,0.8602592988725998,0.8555009841087113,-0.0052579946621647,32,0.2904895858644238
14,6,0.011191253963403619,binary,auc,gbdt,0.5229364411205507,80,375,65,20,2019,48.584872783928354,35.95202008928944,0.27233920054974486,0.8687212941892121,-1,20000,,0.8924681438772619,0.8937088377933061,0.8907625388927587,-0.0012406939160441999,1265,0.27919785702093275
21,4,0.011695392714871376,binary,auc,gbdt,0.5290518804126632,20,450,45,20,2019,10.774249413429416,10.794838661150413,0.9954234823478146,0.8972981942435417,-1,20000,,0.9344657005696029,0.9309034773421061,0.9261438878790837,0.0035622232274967747,8023,0.26916784383680814
17,9,0.014579693473167371,binary,auc,gbdt,0.5862171438096303,30,800,50,20,2019,23.170815307528287,23.677762515136518,0.24061329651429286,0.1305142318068488,-1,20000,,0.901293658799906,0.904959358922057,0.899841906286623,-0.003665700122151061,1785,0.27657801357067535
9,6,0.00794100826420848,binary,auc,gbdt,0.2590125219916144,90,50,65,20,2019,40.26961290875409,48.608815623263055,0.8189113583888779,0.7115661738744921,-1,20000,,0.9273177290092735,0.9252864233676252,0.9207919208312798,0.002031305641648218,16512,0.2703277274356953
23,11,0.005162567634158453,binary,auc,gbdt,0.10166052123721159,30,25,45,20,2019,45.202601190406575,10.882415504921534,0.33204520259763837,0.26533121019519684,-1,20000,,0.8379091349019012,0.8403559030611801,0.838308263428434,-0.0024467681592789114,15,0.29597680852927516
10,3,0.00805206033369862,binary,auc,gbdt,0.9776856034737008,40,750,10,20,2019,28.125504034251534,39.84619808919507,0.30507971660048916,0.7932893690838377,-1,20000,,0.916446349073182,0.9171666064964435,0.9141928202666373,-0.0007202574232615389,4340,0.2722657296245555
5,11,0.007072551712707216,binary,auc,gbdt,0.821047720123765,60,450,35,20,2019,23.99875178528176,18.122761495917704,0.9496346769406745,0.6661969669987361,-1,20000,,0.9359447346552218,0.9338220247828309,0.9307533818198275,0.0021227098723908266,9761,0.26797106340832183
19,9,0.009231989666968395,binary,auc,gbdt,0.6794947421539523,100,650,85,20,2019,3.1526577093416366,0.1931767281255068,0.6505666944984756,0.9875193542375236,-1,20000,,0.9662877744260008,0.9534644771100573,0.9503707574060715,0.01282329731594345,4561,0.265413278259009
12,8,0.01292995268738904,binary,auc,gbdt,0.6792689125788137,100,650,90,20,2019,5.421297726618595,0.2579166749989188,0.6594746296368389,0.9743146739077319,-1,20000,,0.9626407137560494,0.9520993424449261,0.9492194680562149,0.010541371311123315,5153,0.2651858016877904
12,8,0.01328437851341852,binary,auc,gbdt,0.6808692072046664,100,625,95,20,2019,7.15717303456788,1.622368053033749,0.6588077934049784,0.9732347016237447,-1,20000,,0.9616517721558594,0.9517161166542875,0.9485600055953858,0.009935655501571938,5368,0.26513093800518905
12,8,0.013220891359499165,binary,auc,gbdt,0.3810806843098338,100,1000,95,20,2019,7.673899811150872,28.96516656887037,0.767794812847349,0.996868865028586,-1,20000,,0.8679806794543644,0.8717802394894271,0.8665570218788563,-0.0037995600350626546,23,0.28650835082553233
13,8,0.012823262901227872,binary,auc,gbdt,0.7075124559991794,90,625,80,20,2019,18.89137433488011,2.393763417322781,0.6093658466979802,0.9944920353179215,-1,20000,,0.9491648663782759,0.9434596696677396,0.9392410497969662,0.005705196710536264,4261,0.2662684001793462
7,7,0.012815933967930461,binary,auc,gbdt,0.6620076250921746,100,700,85,20,2019,8.385748160233126,18.526099690824683,0.7707089767175948,0.5197256264834886,-1,20000,,0.9526016678775557,0.9459583292694932,0.9440703865708866,0.006643338608062543,7480,0.26583279152975287
16,10,0.013868208706104447,binary,auc,gbdt,0.36650044664265125,70,625,100,20,2019,17.907923214096453,0.6331330789926684,0.8862298198779262,0.7203786276144273,-1,20000,,0.875174604655459,0.8783229501444586,0.8735742281301324,-0.00314834548899956,24,0.2843312742316944
12,10,0.012015348565698546,binary,auc,gbdt,0.7549010373659399,90,825,75,20,2019,12.120826356960709,30.591795616804603,0.5597416582630023,0.8247164097496856,-1,20000,,0.9513220103132571,0.9449669649762092,0.9413912698775387,0.006355045337047893,5360,0.2660276448767283
