step,n_features,val_auc,val_gini,n_val_rows,gini_change
1. as originally built (leakage + protected),20,0.9610858054004274,0.9221716108008549,28750,
2. - leakage (finding C1),15,0.663651046795142,0.32730209359028395,28750,-0.5948695172105709
"3. - protected: married, pincode (H4)",13,0.6637763276632797,0.3275526553265593,28750,0.0002505617362753565
4. - restricted alternative data,10,0.6642705825768964,0.32854116515379284,28750,0.0009885098272335302
5. - placeholder artifact (H1),10,0.646439686936985,0.2928793738739699,28750,-0.03566179127982294
6. - repeat customers in val (M7),10,0.6525556320958645,0.30511126419172907,26623,0.012231890317759175
