config,min_samples_leaf,smoothing,n_features,trees,train_auc,val_auc,val_gini,gap
placeholders as-is,5000,1,13,367,0.6727521399344503,0.6599537173032064,0.3199074346064128,0.012798422631243866
placeholders as-is,1000,1,13,480,0.6817191960097839,0.6643939421698077,0.3287878843396155,0.017325253839976185
placeholders as-is,500,10,13,514,0.683948610330152,0.6634871002630788,0.32697420052615755,0.020461510067073196
placeholders as-is,200,10,13,374,0.7195868289678238,0.6591657680244882,0.31833153604897646,0.06042106094333555
placeholders as-is,100,10,13,482,0.7241212595792945,0.6593194837659723,0.31863896753194454,0.06480177581332225
placeholders as-is,50,10,13,382,0.7189302548991264,0.6589533916333322,0.31790678326666444,0.05997686326579421
placeholders as-is,20,5,13,372,0.7181333182409473,0.6580281946864965,0.3160563893729931,0.060105123554450746
placeholders as-is,10,2,13,372,0.717906627484851,0.6583738526847673,0.31674770536953467,0.059532774800083677
placeholders collapsed,5000,1,13,318,0.656033969076112,0.6409787228512318,0.2819574457024636,0.015055246224880192
placeholders collapsed,1000,1,13,480,0.6685779811650319,0.6461940999312061,0.29238819986241227,0.02238388123382573
placeholders collapsed,500,10,13,497,0.6691521471398869,0.64550582366654,0.29101164733307994,0.023646323473346942
placeholders collapsed,200,10,13,373,0.7031396148737212,0.6420180984400768,0.2840361968801537,0.061121516433644385
placeholders collapsed,100,10,13,356,0.7030772137639302,0.6421894624668523,0.28437892493370454,0.06088775129707791
placeholders collapsed,50,10,13,364,0.7033740846234972,0.6420746594103943,0.28414931882078864,0.06129942521310283
placeholders collapsed,20,5,13,370,0.7031656417426211,0.6417019182931325,0.283403836586265,0.06146372344948858
placeholders collapsed,10,2,13,370,0.7031587863803501,0.6426442008660862,0.2852884017321724,0.06051458551426392
